1	0.4
2	0.6
3	0.5
4	0.5
5	0.6
6	0.5
7	0.5
8	0.5
9	0.5
10	0.5
11	0.5
12	0.5
13	0.5
14	0.5
15	0.5
16	0.5
17	0.5
18	0.5
19	0.6
20	0.6
21	0.7
22	0.8
23	0.8
24	0.8
25	0.8
26	0.8
27	0.8
28	0.9
29	0.9
30	1
31	1
32	1.2
33	1.2
34	0.6
35	0.6
36	0.6
37	35.1
38	219.3
39	395.4
40	562.7
41	723.1
42	875.7
43	999.1
44	1087.7
45	1165.4
46	1213.3
47	1265.2
48	1303.3
49	1326.6
50	1367.7
51	1385.2
52	1420.4
53	1420.9
54	1447.9
55	1449.7
56	1449.6
57	1523.4
58	1489.6
59	1490.9
60	1523.1
61	1512.1
62	1511.2
63	1528.4
64	1567.6
65	1561.7
66	1587.2
67	1579.1
68	1604.5
69	1589.9
70	1547.1

